content_id,title,episode,genre,running_time,release_date
1,"The Shawshank Redemption",NULL,Drama,02:22:00,1994
2,"The Godfather",NULL,Crime,02:55:00,1972
3,"The Godfather: Part II",NULL,Crime,03:22:00,1974
4,"The Dark Knight",NULL,Action,02:32:00,2008
5,"12 Angry Men",NULL,Crime,01:36:00,1957
6,"Schindler's List",NULL,Biography,03:15:00,1993
7,"The Lord of the Rings: The Return of the King",NULL,Action,03:21:00,2003
8,"Pulp Fiction",NULL,Crime,02:34:00,1994
9,"The Good, the Bad and the Ugly",NULL,Western,02:58:00,1966
10,"The Lord of the Rings: The Fellowship of the Ring",NULL,Action,02:58:00,2001
